Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
21.04.2019 20:00,Кардифф,Ливерпуль,0,2,24.0,76.0,7.0,17.0,2.0,6.0,2.0,8.0,3.0,3.0,7.0,9.0,5.0,10.0,4.0,2.0,4.0,2.0,6.0,5.0,1.0,1.0,193.0,619.0,106.0,535.0,15.0,14.0,65.0,130.0,25.0,61.0,,
21.04.2019 17:30,Эвертон,Манчестер Юнайтед,4,0,48.0,52.0,15.0,7.0,8.0,1.0,3.0,5.0,4.0,1.0,8.0,11.0,10.0,2.0,1.0,1.0,1.0,4.0,11.0,7.0,1.0,1.0,383.0,417.0,311.0,332.0,15.0,12.0,92.0,101.0,43.0,50.0,,
20.04.2019 21:30,Ньюкасл Юнайтед,Саутгемптон,3,1,43.0,57.0,15.0,15.0,6.0,3.0,4.0,7.0,5.0,5.0,12.0,6.0,4.0,11.0,0.0,2.0,2.0,3.0,5.0,11.0,0.0,2.0,320.0,417.0,199.0,321.0,23.0,16.0,99.0,130.0,35.0,53.0,,
20.04.2019 19:00,Борнмут,Фулхэм,0,1,49.0,51.0,15.0,17.0,5.0,5.0,6.0,6.0,4.0,6.0,18.0,11.0,3.0,7.0,1.0,0.0,4.0,5.0,11.0,18.0,1.0,3.0,445.0,457.0,368.0,378.0,21.0,13.0,101.0,107.0,42.0,57.0,,
20.04.2019 19:00,Вест Хэм,Лестер,2,2,49.0,51.0,11.0,11.0,3.0,5.0,5.0,5.0,3.0,1.0,11.0,9.0,6.0,8.0,1.0,2.0,3.0,1.0,8.0,9.0,2.0,0.0,410.0,425.0,328.0,347.0,19.0,26.0,108.0,102.0,67.0,54.0,,
20.04.2019 19:00,Вулверхэмптон,Брайтон,0,0,68.0,32.0,22.0,5.0,5.0,0.0,13.0,4.0,4.0,1.0,9.0,0.0,14.0,1.0,0.0,1.0,0.0,5.0,0.0,8.0,0.0,1.0,615.0,297.0,546.0,214.0,12.0,24.0,138.0,85.0,107.0,23.0,,
20.04.2019 19:00,Хаддерсфилд,Уотфорд,1,2,46.0,54.0,13.0,11.0,3.0,6.0,5.0,4.0,5.0,1.0,11.0,16.0,2.0,2.0,1.0,2.0,4.0,2.0,15.0,9.0,2.0,2.0,378.0,459.0,306.0,382.0,17.0,16.0,107.0,87.0,40.0,39.0,,
20.04.2019 16:30,Манчестер Сити,Тоттенхэм,1,0,61.0,39.0,15.0,10.0,4.0,4.0,6.0,3.0,5.0,3.0,14.0,13.0,4.0,4.0,2.0,2.0,4.0,3.0,11.0,11.0,1.0,2.0,582.0,379.0,504.0,284.0,15.0,26.0,140.0,71.0,72.0,28.0,,
16.04.2019 23:45,Брайтон,Кардифф,0,2,64.0,36.0,14.0,10.0,2.0,3.0,8.0,3.0,4.0,4.0,13.0,15.0,5.0,4.0,2.0,0.0,1.0,2.0,11.0,13.0,0.0,1.0,520.0,302.0,404.0,184.0,18.0,30.0,139.0,99.0,75.0,33.0,,
16.04.2019 00:00,Уотфорд,Арсенал,0,1,34.0,66.0,11.0,19.0,3.0,6.0,3.0,6.0,5.0,7.0,12.0,14.0,6.0,4.0,2.0,4.0,5.0,3.0,12.0,8.0,2.0,0.0,327.0,660.0,234.0,575.0,13.0,11.0,82.0,109.0,47.0,59.0,1.0,0.0
14.04.2019 20:30,Ливерпуль,Челси,2,0,62.0,38.0,15.0,6.0,7.0,3.0,3.0,2.0,5.0,1.0,11.0,6.0,9.0,2.0,2.0,2.0,3.0,5.0,5.0,9.0,0.0,1.0,646.0,401.0,557.0,323.0,20.0,30.0,144.0,89.0,84.0,40.0,,
14.04.2019 18:05,Кристал Пэлас,Манчестер Сити,1,3,27.0,73.0,7.0,20.0,3.0,6.0,2.0,7.0,2.0,7.0,13.0,5.0,2.0,9.0,1.0,2.0,3.0,2.0,5.0,11.0,,,274.0,721.0,195.0,652.0,23.0,22.0,77.0,169.0,25.0,92.0,,
13.04.2019 21:30,Манчестер Юнайтед,Вест Хэм,2,1,42.0,58.0,14.0,18.0,4.0,4.0,5.0,6.0,5.0,8.0,6.0,17.0,3.0,11.0,3.0,3.0,3.0,2.0,14.0,5.0,1.0,1.0,373.0,519.0,289.0,417.0,21.0,17.0,87.0,134.0,53.0,70.0,,
13.04.2019 19:00,Бёрнли,Кардифф,2,0,46.0,54.0,14.0,14.0,7.0,2.0,6.0,7.0,1.0,5.0,10.0,9.0,8.0,4.0,3.0,0.0,2.0,5.0,7.0,10.0,2.0,4.0,280.0,349.0,175.0,233.0,15.0,9.0,108.0,118.0,56.0,43.0,,
13.04.2019 19:00,Брайтон,Борнмут,0,5,50.0,50.0,8.0,14.0,1.0,7.0,3.0,4.0,4.0,3.0,6.0,11.0,4.0,1.0,1.0,0.0,2.0,1.0,10.0,6.0,2.0,4.0,470.0,480.0,369.0,386.0,19.0,22.0,132.0,79.0,55.0,37.0,1.0,0.0
13.04.2019 19:00,Саутгемптон,Вулверхэмптон,3,1,30.0,70.0,13.0,17.0,6.0,2.0,6.0,8.0,1.0,7.0,10.0,13.0,4.0,9.0,0.0,2.0,1.0,3.0,13.0,8.0,1.0,3.0,281.0,625.0,179.0,504.0,21.0,15.0,100.0,130.0,29.0,65.0,,
13.04.2019 19:00,Фулхэм,Эвертон,2,0,41.0,59.0,12.0,8.0,5.0,1.0,7.0,6.0,0.0,1.0,11.0,9.0,7.0,3.0,1.0,1.0,1.0,3.0,8.0,10.0,2.0,1.0,343.0,496.0,250.0,375.0,21.0,27.0,96.0,128.0,33.0,72.0,,
13.04.2019 16:30,Тоттенхэм,Хаддерсфилд,4,0,70.0,30.0,22.0,7.0,5.0,1.0,8.0,5.0,9.0,1.0,13.0,11.0,4.0,2.0,1.0,0.0,1.0,1.0,10.0,12.0,2.0,2.0,738.0,305.0,643.0,223.0,15.0,15.0,157.0,84.0,51.0,33.0,,
13.04.2019 00:00,Лестер,Ньюкасл Юнайтед,0,1,71.0,29.0,12.0,11.0,5.0,5.0,6.0,5.0,1.0,1.0,14.0,9.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,10.0,2.0,3.0,773.0,303.0,649.0,196.0,13.0,22.0,102.0,75.0,49.0,21.0,,
09.04.2019 00:00,Челси,Вест Хэм,2,0,54.0,46.0,16.0,9.0,7.0,2.0,6.0,3.0,3.0,4.0,9.0,12.0,7.0,4.0,3.0,1.0,2.0,5.0,8.0,7.0,2.0,1.0,485.0,406.0,411.0,312.0,14.0,19.0,117.0,88.0,68.0,50.0,,
07.04.2019 18:05,Эвертон,Арсенал,1,0,43.0,57.0,23.0,7.0,6.0,2.0,9.0,3.0,8.0,2.0,11.0,11.0,9.0,6.0,3.0,2.0,2.0,5.0,8.0,9.0,1.0,4.0,381.0,513.0,,,18.0,20.0,123.0,99.0,64.0,52.0,,
06.04.2019 19:00,Борнмут,Бёрнли,1,3,60.0,40.0,10.0,11.0,2.0,3.0,5.0,5.0,3.0,3.0,24.0,13.0,3.0,6.0,2.0,5.0,0.0,1.0,12.0,16.0,2.0,3.0,441.0,284.0,,,7.0,10.0,108.0,96.0,43.0,58.0,,
06.04.2019 19:00,Ньюкасл Юнайтед,Кристал Пэлас,0,1,54.0,46.0,18.0,3.0,5.0,1.0,9.0,2.0,4.0,0.0,18.0,13.0,9.0,4.0,2.0,4.0,0.0,5.0,12.0,13.0,1.0,2.0,437.0,391.0,,,19.0,16.0,125.0,86.0,63.0,37.0,,
06.04.2019 19:00,Хаддерсфилд,Лестер,1,4,45.0,55.0,10.0,18.0,4.0,9.0,3.0,7.0,3.0,2.0,13.0,12.0,8.0,5.0,2.0,3.0,5.0,3.0,13.0,11.0,3.0,0.0,369.0,467.0,,,17.0,16.0,105.0,109.0,41.0,37.0,,
06.04.2019 00:00,Саутгемптон,Ливерпуль,1,3,33.0,67.0,11.0,17.0,1.0,5.0,6.0,7.0,4.0,5.0,10.0,10.0,7.0,5.0,3.0,3.0,2.0,0.0,8.0,7.0,2.0,4.0,272.0,565.0,,,15.0,11.0,78.0,139.0,42.0,61.0,,
03.04.2019 23:45,Манчестер Сити,Кардифф,2,0,79.0,21.0,27.0,4.0,11.0,1.0,14.0,2.0,2.0,1.0,8.0,5.0,17.0,4.0,1.0,1.0,1.0,9.0,3.0,7.0,0.0,3.0,676.0,185.0,,,11.0,14.0,146.0,69.0,82.0,14.0,,
03.04.2019 23:45,Тоттенхэм,Кристал Пэлас,2,0,65.0,35.0,26.0,5.0,10.0,1.0,9.0,4.0,7.0,0.0,9.0,8.0,8.0,2.0,0.0,4.0,1.0,8.0,8.0,5.0,1.0,0.0,687.0,364.0,,,15.0,17.0,152.0,72.0,93.0,25.0,,
03.04.2019 23:45,Челси,Брайтон,3,0,68.0,32.0,17.0,3.0,4.0,1.0,8.0,2.0,5.0,0.0,10.0,5.0,7.0,1.0,0.0,2.0,1.0,1.0,5.0,9.0,,,753.0,350.0,,,22.0,18.0,158.0,70.0,91.0,26.0,,
02.04.2019 23:45,Вулверхэмптон,Манчестер Юнайтед,2,1,49.0,51.0,9.0,18.0,2.0,4.0,5.0,7.0,2.0,7.0,16.0,8.0,3.0,5.0,4.0,5.0,3.0,1.0,5.0,11.0,1.0,4.0,510.0,515.0,,,17.0,15.0,99.0,134.0,34.0,49.0,0.0,1.0
02.04.2019 23:45,Уотфорд,Фулхэм,4,1,46.0,54.0,15.0,17.0,7.0,7.0,1.0,3.0,7.0,7.0,5.0,13.0,6.0,4.0,2.0,0.0,6.0,3.0,12.0,5.0,3.0,2.0,462.0,531.0,,,22.0,20.0,105.0,115.0,64.0,51.0,,
02.04.2019 00:00,Арсенал,Ньюкасл Юнайтед,2,0,71.0,29.0,7.0,3.0,4.0,1.0,1.0,2.0,2.0,0.0,12.0,12.0,6.0,2.0,2.0,2.0,1.0,2.0,11.0,10.0,2.0,0.0,700.0,285.0,,,12.0,19.0,132.0,66.0,55.0,25.0,,
31.03.2019 20:30,Ливерпуль,Тоттенхэм,2,1,49.0,51.0,14.0,11.0,3.0,2.0,8.0,7.0,3.0,2.0,10.0,7.0,10.0,3.0,2.0,2.0,1.0,1.0,5.0,8.0,0.0,1.0,445.0,485.0,,,17.0,14.0,97.0,97.0,50.0,41.0,,
31.03.2019 18:05,Кардифф,Челси,1,2,29.0,71.0,8.0,21.0,3.0,3.0,4.0,9.0,1.0,9.0,15.0,9.0,2.0,7.0,2.0,1.0,1.0,2.0,8.0,14.0,2.0,3.0,239.0,592.0,,,28.0,9.0,85.0,115.0,32.0,50.0,,
30.03.2019 22:30,Вест Хэм,Эвертон,0,2,49.0,51.0,3.0,17.0,1.0,9.0,2.0,4.0,0.0,4.0,17.0,9.0,4.0,9.0,2.0,3.0,7.0,1.0,7.0,14.0,1.0,1.0,420.0,431.0,,,22.0,23.0,106.0,120.0,50.0,55.0,,
30.03.2019 20:00,Бёрнли,Вулверхэмптон,2,0,37.0,63.0,5.0,8.0,1.0,1.0,3.0,3.0,1.0,4.0,13.0,12.0,1.0,5.0,1.0,2.0,1.0,0.0,12.0,10.0,1.0,1.0,322.0,534.0,,,14.0,16.0,107.0,138.0,26.0,57.0,,
30.03.2019 20:00,Брайтон,Саутгемптон,0,1,60.0,40.0,14.0,8.0,1.0,2.0,9.0,4.0,4.0,2.0,10.0,15.0,6.0,5.0,6.0,0.0,1.0,1.0,8.0,10.0,1.0,2.0,525.0,346.0,,,19.0,9.0,137.0,132.0,52.0,44.0,,
30.03.2019 20:00,Кристал Пэлас,Хаддерсфилд,2,0,48.0,52.0,19.0,15.0,5.0,5.0,6.0,7.0,8.0,3.0,10.0,17.0,5.0,5.0,6.0,3.0,5.0,3.0,10.0,7.0,,,423.0,449.0,,,14.0,14.0,102.0,142.0,48.0,45.0,,
30.03.2019 20:00,Лестер,Борнмут,2,0,59.0,41.0,18.0,8.0,4.0,2.0,9.0,4.0,5.0,2.0,10.0,8.0,6.0,1.0,3.0,1.0,2.0,2.0,6.0,12.0,0.0,2.0,605.0,423.0,,,16.0,15.0,150.0,106.0,57.0,43.0,,
30.03.2019 20:00,Манчестер Юнайтед,Уотфорд,2,1,51.0,49.0,8.0,20.0,5.0,8.0,1.0,6.0,2.0,6.0,12.0,18.0,3.0,5.0,4.0,3.0,7.0,3.0,14.0,9.0,1.0,2.0,431.0,399.0,,,18.0,13.0,77.0,112.0,51.0,76.0,,
30.03.2019 17:30,Фулхэм,Манчестер Сити,0,2,34.0,66.0,5.0,24.0,0.0,7.0,3.0,8.0,2.0,9.0,10.0,9.0,0.0,11.0,4.0,1.0,5.0,0.0,4.0,12.0,2.0,0.0,359.0,679.0,,,20.0,15.0,74.0,146.0,27.0,71.0,,
17.03.2019 21:30,Эвертон,Челси,2,0,33.0,67.0,15.0,16.0,8.0,5.0,4.0,4.0,3.0,7.0,12.0,16.0,3.0,4.0,1.0,3.0,5.0,6.0,17.0,9.0,1.0,2.0,314.0,666.0,,,12.0,23.0,78.0,152.0,38.0,72.0,,
17.03.2019 19:15,Фулхэм,Ливерпуль,1,2,37.0,63.0,7.0,16.0,2.0,6.0,2.0,7.0,3.0,3.0,8.0,12.0,1.0,10.0,4.0,1.0,4.0,1.0,11.0,7.0,2.0,1.0,365.0,595.0,,,22.0,18.0,95.0,129.0,21.0,88.0,,
16.03.2019 20:00,Бёрнли,Лестер,1,2,62.0,38.0,13.0,9.0,2.0,4.0,7.0,0.0,4.0,5.0,11.0,13.0,9.0,3.0,4.0,1.0,2.0,1.0,9.0,10.0,1.0,1.0,472.0,294.0,,,12.0,12.0,127.0,68.0,78.0,31.0,0.0,1.0
16.03.2019 20:00,Борнмут,Ньюкасл Юнайтед,2,2,49.0,51.0,10.0,12.0,3.0,4.0,7.0,4.0,0.0,4.0,13.0,9.0,6.0,6.0,0.0,1.0,2.0,1.0,9.0,12.0,3.0,2.0,403.0,423.0,,,9.0,22.0,90.0,99.0,47.0,46.0,,
16.03.2019 20:00,Вест Хэм,Хаддерсфилд,4,3,64.0,36.0,16.0,15.0,5.0,5.0,5.0,6.0,6.0,4.0,11.0,8.0,5.0,8.0,1.0,1.0,2.0,1.0,7.0,15.0,0.0,2.0,605.0,327.0,,,16.0,18.0,138.0,93.0,67.0,24.0,,
