Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания,К1 Завершено передач,К2 Завершено передач
12.07.2020 18:15,Астон Вилла,Кристал Пэлас,2,0,45.0,55.0,12.0,9.0,9.0,5.0,1.0,3.0,2.0,1.0,21.0,21.0,5.0,1.0,1.0,0.0,5.0,7.0,21.0,21.0,2.0,4.0,314.0,386.0,12.0,15.0,96.0,124.0,40.0,45.0,0.0,1.0,,,,
12.07.2020 16:00,Вулверхэмптон,Эвертон,3,0,55.0,45.0,14.0,6.0,7.0,2.0,4.0,1.0,3.0,3.0,8.0,10.0,5.0,2.0,1.0,0.0,2.0,4.0,9.0,9.0,0.0,2.0,564.0,450.0,9.0,10.0,134.0,117.0,52.0,26.0,,,,,,
12.07.2020 00:00,Брайтон,Манчестер Сити,0,5,29.0,71.0,3.0,26.0,0.0,8.0,3.0,12.0,0.0,6.0,4.0,13.0,2.0,7.0,6.0,1.0,3.0,0.0,7.0,3.0,1.0,0.0,335.0,799.0,12.0,16.0,75.0,159.0,23.0,72.0,,,,,,
11.07.2020 21:30,Шеффилд Юнайтед,Челси,3,0,24.0,76.0,9.0,15.0,4.0,4.0,3.0,7.0,2.0,4.0,6.0,9.0,4.0,6.0,1.0,0.0,4.0,1.0,8.0,6.0,1.0,0.0,251.0,809.0,7.0,8.0,75.0,148.0,41.0,89.0,,,,,,
11.07.2020 19:00,Ливерпуль,Бёрнли,1,1,71.0,29.0,23.0,6.0,9.0,2.0,5.0,2.0,9.0,2.0,7.0,9.0,11.0,6.0,2.0,3.0,1.0,8.0,7.0,4.0,1.0,2.0,659.0,265.0,10.0,11.0,129.0,61.0,87.0,28.0,,,,,,
11.07.2020 16:30,Норвич,Вест Хэм,0,4,52.0,48.0,11.0,19.0,2.0,7.0,6.0,11.0,3.0,1.0,8.0,10.0,1.0,6.0,1.0,0.0,3.0,2.0,9.0,8.0,1.0,0.0,542.0,478.0,16.0,12.0,93.0,99.0,33.0,66.0,,,,,,
11.07.2020 16:30,Уотфорд,Ньюкасл Юнайтед,2,1,48.0,52.0,17.0,8.0,5.0,4.0,5.0,4.0,7.0,0.0,16.0,26.0,2.0,4.0,3.0,3.0,3.0,3.0,23.0,15.0,1.0,4.0,316.0,353.0,12.0,13.0,101.0,94.0,61.0,28.0,,,,,,
10.07.2020 00:15,Астон Вилла,Манчестер Юнайтед,0,3,33.0,67.0,9.0,14.0,1.0,6.0,5.0,6.0,3.0,2.0,14.0,8.0,3.0,5.0,2.0,1.0,3.0,1.0,7.0,13.0,2.0,3.0,305.0,640.0,8.0,11.0,90.0,118.0,41.0,72.0,,,,,,
09.07.2020 22:00,Борнмут,Тоттенхэм,0,0,36.0,64.0,9.0,9.0,2.0,0.0,3.0,4.0,4.0,5.0,14.0,13.0,8.0,12.0,1.0,0.0,0.0,2.0,11.0,14.0,3.0,2.0,274.0,498.0,15.0,21.0,93.0,115.0,60.0,68.0,,,,,,
09.07.2020 22:00,Эвертон,Саутгемптон,1,1,39.0,61.0,11.0,17.0,4.0,4.0,4.0,6.0,3.0,7.0,16.0,14.0,3.0,5.0,3.0,2.0,3.0,3.0,13.0,14.0,3.0,3.0,318.0,493.0,13.0,13.0,76.0,133.0,22.0,57.0,,,,,,
