Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Вбрасывания,К2 Вбрасывания,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
11.05.2022 23:30,Лидс,Челси,0,3,32.0,68.0,5.0,17.0,0.0,4.0,4.0,10.0,1.0,3.0,17.0,9.0,1.0,4.0,0.0,3.0,18.0,11.0,1.0,0.0,10.0,14.0,1.0,0.0,379.0,817.0,290.0,730.0,16.0,17.0,73.0,159.0,19.0,61.0,1.0,0.0
11.05.2022 00:00,Астон Вилла,Ливерпуль,1,2,39.0,61.0,9.0,17.0,4.0,6.0,5.0,8.0,0.0,3.0,14.0,11.0,2.0,3.0,3.0,2.0,24.0,20.0,4.0,3.0,10.0,12.0,,,343.0,530.0,258.0,441.0,12.0,15.0,77.0,133.0,40.0,52.0,,
08.05.2022 20:30,Манчестер Сити,Ньюкасл Юнайтед,5,0,71.0,29.0,21.0,7.0,9.0,3.0,8.0,3.0,4.0,1.0,14.0,7.0,8.0,2.0,1.0,4.0,12.0,9.0,3.0,4.0,6.0,11.0,1.0,3.0,712.0,281.0,645.0,216.0,8.0,19.0,139.0,61.0,77.0,27.0,,
08.05.2022 18:00,Арсенал,Лидс,2,1,63.0,37.0,19.0,3.0,9.0,2.0,8.0,0.0,2.0,1.0,11.0,14.0,8.0,2.0,1.0,0.0,30.0,10.0,1.0,7.0,13.0,15.0,2.0,2.0,621.0,364.0,556.0,285.0,16.0,24.0,152.0,36.0,109.0,16.0,0.0,1.0
08.05.2022 18:00,Лестер,Эвертон,1,2,66.0,34.0,16.0,10.0,9.0,4.0,6.0,3.0,1.0,3.0,6.0,12.0,6.0,1.0,2.0,0.0,29.0,15.0,2.0,8.0,11.0,6.0,3.0,0.0,631.0,332.0,545.0,239.0,16.0,13.0,122.0,93.0,54.0,39.0,,
08.05.2022 18:00,Норвич,Вест Хэм,0,4,37.0,63.0,8.0,13.0,2.0,5.0,2.0,3.0,4.0,5.0,9.0,5.0,9.0,5.0,2.0,3.0,8.0,16.0,1.0,2.0,7.0,7.0,1.0,1.0,384.0,679.0,328.0,616.0,12.0,12.0,87.0,104.0,44.0,49.0,,
07.05.2022 23:45,Ливерпуль,Тоттенхэм,1,1,65.0,35.0,22.0,8.0,3.0,3.0,6.0,2.0,13.0,3.0,4.0,12.0,11.0,5.0,0.0,0.0,19.0,20.0,2.0,2.0,12.0,8.0,3.0,2.0,618.0,338.0,529.0,249.0,19.0,20.0,166.0,48.0,99.0,28.0,,
07.05.2022 21:30,Брайтон,Манчестер Юнайтед,4,0,42.0,58.0,17.0,15.0,6.0,5.0,7.0,7.0,4.0,3.0,10.0,12.0,7.0,6.0,3.0,3.0,17.0,13.0,5.0,2.0,13.0,9.0,0.0,2.0,373.0,526.0,293.0,445.0,11.0,13.0,90.0,82.0,58.0,42.0,,
07.05.2022 19:00,Бёрнли,Астон Вилла,1,3,49.0,51.0,14.0,12.0,6.0,7.0,7.0,2.0,1.0,3.0,13.0,12.0,4.0,5.0,1.0,2.0,18.0,22.0,4.0,5.0,13.0,11.0,1.0,2.0,424.0,446.0,328.0,349.0,16.0,13.0,101.0,98.0,37.0,34.0,,
07.05.2022 19:00,Брентфорд,Саутгемптон,3,0,40.0,60.0,18.0,19.0,5.0,4.0,8.0,10.0,5.0,5.0,10.0,9.0,4.0,7.0,0.0,2.0,16.0,13.0,4.0,2.0,12.0,9.0,0.0,1.0,321.0,470.0,219.0,372.0,10.0,17.0,86.0,108.0,37.0,71.0,,
07.05.2022 19:00,Кристал Пэлас,Уотфорд,1,0,68.0,32.0,15.0,6.0,7.0,1.0,4.0,2.0,4.0,3.0,14.0,12.0,8.0,5.0,2.0,0.0,25.0,16.0,1.0,6.0,11.0,18.0,2.0,3.0,533.0,248.0,447.0,170.0,11.0,16.0,112.0,71.0,65.0,23.0,0.0,1.0
07.05.2022 19:00,Челси,Вулверхэмптон,2,2,59.0,41.0,19.0,14.0,6.0,4.0,8.0,9.0,5.0,1.0,9.0,9.0,9.0,3.0,2.0,1.0,18.0,15.0,2.0,4.0,7.0,11.0,1.0,3.0,493.0,332.0,399.0,253.0,20.0,18.0,109.0,65.0,55.0,27.0,,
03.05.2022 00:00,Манчестер Юнайтед,Брентфорд,3,0,65.0,35.0,9.0,12.0,5.0,4.0,3.0,5.0,1.0,3.0,8.0,7.0,3.0,8.0,3.0,2.0,9.0,18.0,4.0,2.0,4.0,6.0,1.0,0.0,714.0,376.0,651.0,309.0,11.0,9.0,113.0,88.0,36.0,59.0,,
