Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Красные карточки,К2 Красные карточки,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Вбрасывания,К2 Вбрасывания,К1 Точность передач,К2 Точность передач
23.04.2017 18:15,Бёрнли,Манчестер Юнайтед,0,2,46,54,8,12,0,6,4,3,4,3,17,19,3,3,3,1,4,0,17,16,,,2.0,1.0,385.0,471.0,32.0,18.0,26.0,30.0,,
22.04.2017 19:00,Борнмут,Мидлсбро,4,0,68,32,20,5,10,2,7,3,3,0,17,6,4,3,2,2,2,6,4,14,0.0,1.0,0.0,4.0,604.0,284.0,22.0,21.0,,,,
22.04.2017 19:00,Вест Хэм,Эвертон,0,0,41,59,15,4,3,0,5,3,7,1,17,10,8,4,1,2,0,3,9,15,,,2.0,3.0,342.0,517.0,17.0,20.0,,,,
22.04.2017 19:00,Суонси,Сток Сити,2,0,46,54,10,9,6,3,2,5,2,1,15,5,11,4,1,1,3,4,5,14,,,2.0,2.0,364.0,451.0,24.0,16.0,,,,
22.04.2017 19:00,Халл,Уотфорд,2,0,34,66,8,13,3,2,3,5,2,6,13,12,4,7,2,2,2,1,10,11,1.0,0.0,3.0,1.0,303.0,573.0,19.0,14.0,,,,
18.04.2017 00:00,Мидлсбро,Арсенал,1,2,35,65,13,12,5,4,6,4,2,4,16,14,2,4,3,0,2,4,11,16,,,2.0,2.0,308.0,584.0,17.0,19.0,,,,
16.04.2017 20:00,Манчестер Юнайтед,Челси,2,0,46,54,9,5,3,0,6,4,0,1,21,16,1,3,1,1,0,1,16,20,,,3.0,3.0,414.0,469.0,28.0,23.0,,,,
16.04.2017 17:30,Вест Бромвич,Ливерпуль,0,1,36,64,7,15,2,2,5,9,0,4,11,21,4,4,6,2,1,2,15,9,,,3.0,1.0,312.0,565.0,14.0,21.0,,,,
15.04.2017 21:30,Саутгемптон,Манчестер Сити,0,3,41,59,8,18,1,5,4,7,3,6,8,9,4,8,0,0,2,1,9,8,,,3.0,0.0,434.0,628.0,21.0,13.0,,,,
15.04.2017 19:00,Кристал Пэлас,Лестер,2,2,58,42,15,6,4,2,6,2,5,2,16,10,8,5,0,0,0,2,10,16,,,0.0,2.0,420.0,311.0,19.0,24.0,,,,
15.04.2017 19:00,Сандерленд,Вест Хэм,2,2,47,53,14,7,4,3,6,2,4,2,10,16,7,1,2,0,1,2,14,10,0.0,1.0,1.0,2.0,355.0,416.0,17.0,13.0,,,,
15.04.2017 19:00,Сток Сити,Халл,3,1,45,55,14,14,4,3,6,6,4,5,7,16,3,7,4,3,2,1,12,5,,,0.0,2.0,361.0,435.0,15.0,19.0,,,,
15.04.2017 19:00,Уотфорд,Суонси,1,0,52,48,15,13,7,4,6,5,2,4,15,12,6,2,4,2,4,6,8,13,,,,,444.0,383.0,15.0,20.0,,,,
15.04.2017 19:00,Эвертон,Бёрнли,3,1,63,37,29,13,7,6,9,4,13,3,13,16,6,7,3,0,5,4,15,14,,,2.0,0.0,529.0,301.0,20.0,23.0,,,,
15.04.2017 16:30,Тоттенхэм,Борнмут,4,0,69,31,25,5,14,1,2,3,9,1,12,11,13,1,3,2,1,10,8,10,,,0.0,1.0,655.0,298.0,13.0,19.0,,,,
11.04.2017 00:00,Кристал Пэлас,Арсенал,3,0,28,72,17,11,6,3,7,6,4,2,10,15,5,8,5,2,3,3,11,10,,,0.0,1.0,233.0,628.0,22.0,20.0,,,,
09.04.2017 20:00,Эвертон,Лестер,4,2,60,40,12,6,7,4,1,1,4,1,15,8,4,6,0,0,2,3,8,15,,,2.0,2.0,594.0,379.0,18.0,20.0,,,,
09.04.2017 17:30,Сандерленд,Манчестер Юнайтед,0,3,30,70,9,18,4,9,3,5,2,4,22,16,4,5,2,2,6,4,14,20,1.0,0.0,1.0,5.0,233.0,580.0,16.0,13.0,,,,
08.04.2017 21:30,Борнмут,Челси,1,3,51,49,12,15,1,5,5,7,6,3,13,7,4,4,1,1,2,0,7,11,,,2.0,3.0,539.0,524.0,24.0,18.0,,,,
08.04.2017 19:00,Вест Бромвич,Саутгемптон,0,1,41,59,17,10,6,3,7,3,4,4,12,11,7,3,1,0,2,6,12,12,,,2.0,2.0,372.0,549.0,10.0,22.0,,,,
08.04.2017 19:00,Вест Хэм,Суонси,1,0,46,54,14,4,6,1,5,2,3,1,12,15,4,3,2,0,1,5,12,12,,,5.0,1.0,361.0,413.0,27.0,10.0,,,,
08.04.2017 19:00,Манчестер Сити,Халл,3,1,68,32,23,7,7,1,10,4,6,2,10,7,7,3,1,2,0,4,6,8,,,0.0,2.0,713.0,340.0,22.0,21.0,,,,
08.04.2017 19:00,Мидлсбро,Бёрнли,0,0,56,44,12,7,5,2,4,5,3,0,14,11,4,3,2,2,2,5,9,12,,,0.0,3.0,453.0,355.0,10.0,16.0,,,,
08.04.2017 19:00,Сток Сити,Ливерпуль,1,2,44,56,9,14,4,4,4,6,1,4,12,12,5,8,7,2,2,3,7,11,,,0.0,2.0,369.0,489.0,21.0,21.0,,,,
08.04.2017 16:30,Тоттенхэм,Уотфорд,4,0,59,41,19,8,6,2,5,4,8,2,12,12,7,5,1,1,2,2,12,12,,,0.0,1.0,498.0,345.0,23.0,14.0,,,,
06.04.2017 00:00,Ливерпуль,Борнмут,2,2,67,33,20,7,8,2,9,2,3,3,8,13,7,2,2,0,0,6,11,8,,,1.0,1.0,579.0,291.0,21.0,22.0,,,,
06.04.2017 00:00,Челси,Манчестер Сити,2,1,40,60,10,17,4,7,3,6,3,4,14,11,2,9,1,1,6,2,10,14,,,1.0,3.0,403.0,616.0,19.0,12.0,,,,
05.04.2017 23:45,Арсенал,Вест Хэм,3,0,66,34,21,7,8,2,7,4,6,1,8,13,5,0,2,3,2,5,11,5,,,2.0,2.0,678.0,349.0,15.0,17.0,,,,
05.04.2017 23:45,Саутгемптон,Кристал Пэлас,3,1,61,39,25,17,9,3,12,6,4,8,12,16,11,11,1,1,2,6,16,11,,,2.0,1.0,397.0,251.0,11.0,17.0,,,,
05.04.2017 23:45,Суонси,Тоттенхэм,1,3,28,72,4,18,1,8,2,5,1,5,12,9,5,7,3,4,5,0,7,8,,,1.0,1.0,239.0,640.0,19.0,21.0,,,,
05.04.2017 23:45,Халл,Мидлсбро,4,2,47,53,17,12,5,4,7,4,5,4,13,14,8,4,1,1,2,1,13,12,,,2.0,1.0,392.0,431.0,5.0,16.0,,,,
05.04.2017 00:00,Манчестер Юнайтед,Эвертон,1,1,62,38,18,11,3,4,8,2,7,5,20,13,6,5,3,3,3,2,10,18,0.0,1.0,1.0,4.0,581.0,376.0,21.0,18.0,,,,
04.04.2017 23:45,Бёрнли,Сток Сити,1,0,48,53,7,15,3,2,1,7,3,6,19,12,3,5,4,3,2,2,9,16,,,3.0,2.0,369.0,402.0,10.0,10.0,,,,
04.04.2017 23:45,Лестер,Сандерленд,2,0,55,45,19,15,8,3,5,8,6,4,16,13,5,6,1,3,3,6,12,13,,,0.0,1.0,396.0,329.0,13.0,18.0,,,,
04.04.2017 23:45,Уотфорд,Вест Бромвич,2,0,55,45,9,17,2,2,3,10,4,5,15,12,5,6,1,0,2,0,11,14,1.0,0.0,3.0,4.0,438.0,337.0,19.0,12.0,,,,
02.04.2017 20:00,Арсенал,Манчестер Сити,2,2,44,56,8,14,3,5,5,6,0,3,21,13,3,8,5,6,3,1,8,14,,,3.0,2.0,408.0,510.0,24.0,25.0,,,,
02.04.2017 17:30,Суонси,Мидлсбро,0,0,55,45,15,8,3,1,6,4,6,3,16,11,11,3,1,0,1,3,9,16,,,2.0,3.0,416.0,360.0,7.0,20.0,,,,
01.04.2017 21:30,Саутгемптон,Борнмут,0,0,61,39,14,12,4,3,8,7,2,2,10,16,6,3,4,1,3,4,14,8,,,1.0,0.0,554.0,347.0,9.0,14.0,,,,
01.04.2017 19:00,Бёрнли,Тоттенхэм,0,2,38,62,13,19,2,7,6,6,5,6,7,14,3,7,5,1,5,2,9,5,,,2.0,0.0,347.0,572.0,25.0,10.0,,,,
01.04.2017 19:00,Лестер,Сток Сити,2,0,48,52,23,10,10,2,7,5,6,3,14,7,10,4,1,4,2,8,7,11,,,1.0,4.0,394.0,418.0,20.0,11.0,,,,
01.04.2017 19:00,Манчестер Юнайтед,Вест Бромвич,0,0,75,25,18,3,3,1,8,1,7,1,13,15,6,1,0,0,1,3,15,13,,,3.0,3.0,761.0,261.0,15.0,18.0,,,,
01.04.2017 19:00,Уотфорд,Сандерленд,1,0,56,44,23,11,10,3,5,2,8,6,8,13,13,9,1,0,3,9,12,8,,,1.0,3.0,387.0,302.0,19.0,9.0,,,,
01.04.2017 19:00,Халл,Вест Хэм,2,1,46,54,7,12,3,4,3,7,1,1,9,18,5,5,2,1,3,1,16,9,,,2.0,2.0,383.0,457.0,20.0,15.0,,,,
01.04.2017 19:00,Челси,Кристал Пэлас,1,2,73,27,24,8,11,3,5,5,8,0,16,15,9,3,4,2,1,10,12,14,,,3.0,2.0,608.0,229.0,20.0,16.0,,,,
01.04.2017 16:30,Ливерпуль,Эвертон,3,1,51,49,10,9,6,4,1,3,3,2,10,20,2,3,1,1,3,3,17,10,,,1.0,3.0,468.0,426.0,23.0,25.0,,,,
19.03.2017 21:30,Манчестер Сити,Ливерпуль,1,1,60,40,13,13,3,4,8,5,2,4,9,19,9,8,6,2,3,2,14,7,,,3.0,3.0,563.0,383.0,25.0,31.0,,,,
19.03.2017 19:15,Тоттенхэм,Саутгемптон,2,1,51,49,12,8,6,3,2,4,4,1,19,14,5,1,2,7,2,4,12,13,,,3.0,3.0,456.0,443.0,14.0,21.0,,,,
19.03.2017 17:00,Мидлсбро,Манчестер Юнайтед,1,3,64,36,10,14,3,6,4,4,3,4,9,9,8,3,0,1,3,2,9,8,,,1.0,1.0,555.0,324.0,14.0,15.0,,,,
18.03.2017 22:30,Борнмут,Суонси,2,0,48,52,12,10,6,1,4,5,2,4,10,12,2,4,2,1,1,4,10,9,,,0.0,2.0,448.0,477.0,18.0,18.0,,,,
18.03.2017 20:00,Вест Хэм,Лестер,2,3,59,41,20,11,7,5,8,4,5,2,14,12,6,5,2,0,2,5,10,14,,,0.0,1.0,478.0,354.0,22.0,28.0,,,,
18.03.2017 20:00,Кристал Пэлас,Уотфорд,1,0,44,56,7,6,0,2,5,4,2,0,16,9,3,2,1,1,2,0,8,15,,,0.0,2.0,285.0,388.0,18.0,12.0,,,,
