Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания
19.04.2018 23:45,Лестер,Саутгемптон,0,0,54,46,11,6,3,2,4,4,4,0,12,13,11,3,3,2,2,3,10,10,449,384,17,17,129.0,120.0,63.0,46.0,,,,,,
18.04.2018 23:45,Борнмут,Манчестер Юнайтед,0,2,44,56,13,13,2,4,6,1,5,8,11,10,8,5,1,3,2,2,9,8,428,556,10,17,83.0,84.0,65.0,62.0,3.0,1.0,,,,
17.04.2018 23:45,Брайтон,Тоттенхэм,1,1,36,64,8,16,5,6,2,5,1,5,4,6,3,4,0,0,5,4,6,5,360,630,23,10,80.0,105.0,37.0,66.0,1.0,0.0,,,,
17.04.2018 00:00,Вест Хэм,Сток Сити,1,1,62,38,18,11,6,7,3,1,9,3,24,20,10,1,5,3,6,5,15,21,466,287,9,13,106.0,79.0,99.0,33.0,2.0,3.0,,,,
15.04.2018 20:00,Манчестер Юнайтед,Вест Бромвич,0,1,70,30,14,10,4,4,6,4,4,2,14,12,4,4,4,1,3,4,8,13,742,312,15,9,123.0,86.0,83.0,30.0,1.0,1.0,,,,
15.04.2018 17:30,Ньюкасл Юнайтед,Арсенал,2,1,28,72,8,15,4,3,2,8,2,4,11,12,2,5,1,2,2,2,11,9,274,695,22,25,74.0,80.0,33.0,60.0,1.0,0.0,,,,
14.04.2018 23:45,Тоттенхэм,Манчестер Сити,1,3,48,52,8,17,3,6,1,5,4,6,13,15,5,7,5,1,3,2,11,12,462,513,23,11,93.0,86.0,70.0,51.0,3.0,4.0,,,,
14.04.2018 21:30,Ливерпуль,Борнмут,3,0,62,38,20,6,7,1,10,2,3,3,13,11,7,5,4,4,1,4,9,9,618,375,25,13,104.0,73.0,83.0,37.0,1.0,1.0,,,,
14.04.2018 19:00,Бёрнли,Лестер,2,1,39,61,8,15,3,6,2,4,3,5,11,9,4,8,0,1,5,1,9,10,290,440,14,10,80.0,110.0,60.0,96.0,2.0,1.0,,,,
14.04.2018 19:00,Кристал Пэлас,Брайтон,3,2,50,50,15,12,8,3,2,6,5,3,17,15,5,6,3,1,1,5,12,16,366,348,12,14,96.0,90.0,80.0,85.0,3.0,2.0,,,,
14.04.2018 19:00,Суонси,Эвертон,1,1,51,49,17,12,7,3,5,5,5,4,11,11,6,3,1,0,2,6,10,11,449,437,23,15,94.0,79.0,85.0,68.0,1.0,1.0,,,,
14.04.2018 19:00,Хаддерсфилд,Уотфорд,1,0,48,52,9,4,1,2,3,0,5,2,9,11,9,6,2,1,2,0,9,8,365,408,16,19,136.0,150.0,113.0,82.0,2.0,2.0,,,,
14.04.2018 16:30,Саутгемптон,Челси,2,3,42,58,10,17,7,5,2,4,1,8,16,13,4,7,1,2,2,5,13,14,377,517,14,11,106.0,90.0,42.0,54.0,5.0,3.0,,,,
08.04.2018 20:30,Челси,Вест Хэм,1,1,60,40,23,5,6,2,11,0,6,3,13,9,10,6,2,2,1,5,7,11,593,407,13,16,65.0,40.0,55.0,25.0,0.0,1.0,,,,
08.04.2018 18:15,Арсенал,Саутгемптон,3,2,65,35,13,15,7,8,4,4,2,3,9,12,8,6,1,2,6,4,11,7,702,369,11,11,70.0,57.0,50.0,32.0,2.0,1.0,1.0,1.0,,
07.04.2018 21:30,Манчестер Сити,Манчестер Юнайтед,2,3,65,35,20,5,6,4,9,1,5,0,11,18,8,4,0,2,1,4,17,9,594,317,9,11,93.0,73.0,73.0,35.0,6.0,3.0,,,,
07.04.2018 19:00,Борнмут,Кристал Пэлас,2,2,53,47,20,13,5,6,11,3,4,4,10,11,11,3,3,1,4,3,8,9,464,440,7,15,118.0,109.0,93.0,66.0,2.0,2.0,,,,
07.04.2018 19:00,Брайтон,Хаддерсфилд,1,1,41,59,13,14,4,5,6,4,3,5,10,17,5,3,3,3,4,3,13,7,357,517,17,16,130.0,140.0,73.0,89.0,1.0,0.0,1.0,0.0,,
07.04.2018 19:00,Вест Бромвич,Суонси,1,1,52,48,15,7,3,1,4,5,8,1,6,21,5,1,6,1,0,2,15,5,478,454,13,13,108.0,87.0,91.0,59.0,3.0,2.0,,,,
07.04.2018 19:00,Лестер,Ньюкасл Юнайтед,1,2,66,34,8,8,1,4,5,3,2,1,17,9,7,5,3,3,2,0,7,14,521,273,11,12,93.0,74.0,75.0,54.0,1.0,3.0,,,,
07.04.2018 19:00,Сток Сити,Тоттенхэм,1,2,33,67,10,15,4,4,5,5,1,6,11,21,6,3,2,3,2,3,19,8,262,545,23,14,77.0,129.0,47.0,58.0,4.0,3.0,,,,
07.04.2018 19:00,Уотфорд,Бёрнли,1,2,60,40,14,7,5,4,4,2,5,1,14,21,11,1,3,2,2,4,17,10,387,260,8,14,98.0,77.0,64.0,29.0,2.0,2.0,,,,
07.04.2018 16:30,Эвертон,Ливерпуль,0,0,38,62,6,10,1,3,3,4,2,3,8,15,3,2,4,1,3,1,12,7,357,584,16,11,88.0,98.0,32.0,45.0,,,,,,
01.04.2018 20:00,Челси,Тоттенхэм,1,3,49,51,14,12,4,7,7,3,3,2,14,8,5,5,4,3,4,3,4,11,493,527,27,20,104.0,83.0,54.0,47.0,0.0,1.0,,,,
01.04.2018 17:30,Арсенал,Сток Сити,3,0,70,30,24,8,11,2,8,4,5,2,14,12,6,5,3,3,2,8,9,13,647,273,16,11,92.0,89.0,57.0,46.0,1.0,2.0,,,,
31.03.2018 21:30,Эвертон,Манчестер Сити,1,3,18,82,6,18,2,4,4,8,0,6,11,11,2,11,2,3,1,1,10,8,200,975,13,6,61.0,96.0,33.0,66.0,,,,,,
31.03.2018 19:00,Брайтон,Лестер,0,2,47,53,15,6,3,4,7,2,5,0,13,17,6,1,6,1,2,3,11,13,374,448,11,14,120.0,119.0,80.0,58.0,2.0,6.0,0.0,1.0,,
31.03.2018 19:00,Вест Бромвич,Бёрнли,1,2,47,53,8,11,3,4,3,6,2,1,11,14,1,6,2,2,2,2,12,9,414,461,20,9,73.0,83.0,25.0,38.0,1.0,3.0,,,,
31.03.2018 19:00,Вест Хэм,Саутгемптон,3,0,48,52,13,9,5,0,5,5,3,4,16,10,5,9,1,0,0,2,9,16,377,402,19,17,110.0,95.0,73.0,79.0,0.0,3.0,,,,
31.03.2018 19:00,Манчестер Юнайтед,Суонси,2,0,67,33,11,3,5,2,4,0,2,1,14,10,3,3,5,1,2,3,5,13,744,364,15,14,112.0,72.0,65.0,29.0,,,,,,
31.03.2018 19:00,Ньюкасл Юнайтед,Хаддерсфилд,1,0,63,37,18,4,3,0,9,2,6,2,10,12,3,3,3,1,0,2,9,10,586,337,15,22,151.0,121.0,91.0,63.0,1.0,4.0,,,,
31.03.2018 19:00,Уотфорд,Борнмут,2,2,50,50,16,13,5,6,4,4,7,3,10,18,7,4,3,4,4,3,16,6,420,424,18,20,96.0,91.0,100.0,71.0,4.0,0.0,,,,
31.03.2018 16:30,Кристал Пэлас,Ливерпуль,1,2,32,68,6,16,3,6,3,4,0,6,8,6,4,6,1,1,4,2,6,8,307,661,24,16,83.0,122.0,41.0,61.0,2.0,2.0,,,0.0,5.0
17.03.2018 22:30,Ливерпуль,Уотфорд,5,0,58,42,13,4,10,1,1,2,2,1,7,11,6,0,6,3,1,5,5,4,578,421,17,30,91.0,79.0,58.0,26.0,1.0,0.0,,,,
17.03.2018 20:00,Борнмут,Вест Бромвич,2,1,60,40,17,11,5,6,4,1,8,4,10,5,3,2,1,1,5,3,6,9,536,350,17,24,98.0,84.0,52.0,38.0,1.0,2.0,,,,
17.03.2018 20:00,Сток Сити,Эвертон,1,2,44,56,9,17,4,9,2,5,3,3,16,13,1,9,0,4,7,3,13,12,342,426,19,18,118.0,135.0,69.0,91.0,1.0,1.0,1.0,0.0,,
17.03.2018 20:00,Хаддерсфилд,Кристал Пэлас,0,2,55,45,6,17,2,6,3,5,1,6,14,11,4,7,1,2,4,2,11,12,471,382,22,29,98.0,93.0,86.0,59.0,3.0,2.0,,,,
13.03.2018 01:00,Сток Сити,Манчестер Сити,0,2,23,77,3,17,0,6,1,8,2,3,12,8,3,10,2,4,4,0,6,8,248,850,19,16,73.0,120.0,44.0,80.0,1.0,0.0,,,,
11.03.2018 21:00,Борнмут,Тоттенхэм,1,4,38,62,14,12,3,8,7,1,4,3,11,9,4,5,0,3,4,2,10,7,332,556,21,20,103.0,137.0,61.0,73.0,1.0,1.0,,,,
11.03.2018 18:30,Арсенал,Уотфорд,3,0,60,40,11,11,7,4,4,5,0,2,12,16,4,9,5,3,4,4,12,9,502,324,19,13,101.0,104.0,53.0,74.0,2.0,1.0,,,,
