Дата,Команда 1,Команда 2,К1 Счет,К2 Счет
04.01.2023 01:00,Манчестер Юнайтед,Борнмут,3,0
04.01.2023 00:45,Арсенал,Ньюкасл Юнайтед,0,0
04.01.2023 00:45,Лестер,Фулхэм,0,1
04.01.2023 00:45,Эвертон,Брайтон,1,4
02.01.2023 22:30,Брентфорд,Ливерпуль,3,1
01.01.2023 21:30,Ноттингем Форест,Челси,1,1
01.01.2023 19:00,Тоттенхэм,Астон Вилла,0,2
31.12.2022 22:30,Брайтон,Арсенал,2,4
31.12.2022 20:00,Борнмут,Кристал Пэлас,0,2
31.12.2022 20:00,Манчестер Сити,Эвертон,1,1
31.12.2022 20:00,Ньюкасл Юнайтед,Лидс,0,0
31.12.2022 20:00,Фулхэм,Саутгемптон,2,1
31.12.2022 17:30,Вулверхэмптон,Манчестер Юнайтед,0,1
31.12.2022 01:00,Ливерпуль,Лестер,2,1
31.12.2022 00:45,Вест Хэм,Брентфорд,0,2
29.12.2022 01:00,Лидс,Манчестер Сити,1,3
28.12.2022 01:00,Манчестер Юнайтед,Ноттингем Форест,3,0
27.12.2022 22:30,Челси,Борнмут,2,0
27.12.2022 01:00,Арсенал,Вест Хэм,3,1
26.12.2022 22:30,Астон Вилла,Ливерпуль,1,3
26.12.2022 20:00,Кристал Пэлас,Фулхэм,0,3
26.12.2022 20:00,Лестер,Ньюкасл Юнайтед,0,3
26.12.2022 20:00,Саутгемптон,Брайтон,1,3
26.12.2022 20:00,Эвертон,Вулверхэмптон,1,2
26.12.2022 17:30,Брентфорд,Тоттенхэм,2,2
13.11.2022 21:30,Фулхэм,Манчестер Юнайтед,1,2
13.11.2022 19:00,Брайтон,Астон Вилла,1,2
13.11.2022 00:45,Вулверхэмптон,Арсенал,0,2
12.11.2022 22:30,Ньюкасл Юнайтед,Челси,1,0
12.11.2022 20:00,Борнмут,Эвертон,3,0
12.11.2022 20:00,Вест Хэм,Лестер,0,2
12.11.2022 20:00,Ливерпуль,Саутгемптон,3,1
12.11.2022 20:00,Ноттингем Форест,Кристал Пэлас,1,0
12.11.2022 20:00,Тоттенхэм,Лидс,4,3
12.11.2022 17:30,Манчестер Сити,Брентфорд,1,2
06.11.2022 21:30,Тоттенхэм,Ливерпуль,1,2
06.11.2022 19:00,Астон Вилла,Манчестер Юнайтед,3,1
06.11.2022 19:00,Вест Хэм,Кристал Пэлас,1,2
06.11.2022 19:00,Саутгемптон,Ньюкасл Юнайтед,1,4
06.11.2022 17:00,Челси,Арсенал,0,1
05.11.2022 22:30,Эвертон,Лестер,0,2
05.11.2022 20:00,Вулверхэмптон,Брайтон,2,3
05.11.2022 20:00,Лидс,Борнмут,4,3
05.11.2022 20:00,Манчестер Сити,Фулхэм,2,1
05.11.2022 20:00,Ноттингем Форест,Брентфорд,2,2
30.10.2022 21:15,Манчестер Юнайтед,Вест Хэм,1,0
30.10.2022 19:00,Арсенал,Ноттингем Форест,5,0
29.10.2022 23:45,Ливерпуль,Лидс,1,2
29.10.2022 21:30,Фулхэм,Эвертон,0,0
29.10.2022 19:00,Борнмут,Тоттенхэм,2,3
29.10.2022 19:00,Брайтон,Челси,4,1
29.10.2022 19:00,Брентфорд,Вулверхэмптон,1,1
29.10.2022 19:00,Кристал Пэлас,Саутгемптон,1,0
29.10.2022 19:00,Ньюкасл Юнайтед,Астон Вилла,4,0
29.10.2022 16:30,Лестер,Манчестер Сити,0,1
25.10.2022 00:00,Вест Хэм,Борнмут,2,0
23.10.2022 20:30,Тоттенхэм,Ньюкасл Юнайтед,1,2
23.10.2022 18:00,Астон Вилла,Брентфорд,4,0
23.10.2022 18:00,Вулверхэмптон,Лестер,0,4
23.10.2022 18:00,Лидс,Фулхэм,2,3
23.10.2022 18:00,Саутгемптон,Арсенал,1,1
22.10.2022 21:30,Челси,Манчестер Юнайтед,1,1
22.10.2022 19:00,Манчестер Сити,Брайтон,3,1
22.10.2022 19:00,Эвертон,Кристал Пэлас,3,0
22.10.2022 16:30,Ноттингем Форест,Ливерпуль,1,0
21.10.2022 00:15,Лестер,Лидс,2,0
20.10.2022 23:30,Фулхэм,Астон Вилла,3,0
20.10.2022 00:15,Манчестер Юнайтед,Тоттенхэм,2,0
19.10.2022 23:30,Борнмут,Саутгемптон,0,1
19.10.2022 23:30,Брентфорд,Челси,0,0
19.10.2022 23:30,Ливерпуль,Вест Хэм,1,0
19.10.2022 23:30,Ньюкасл Юнайтед,Эвертон,1,0
