Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Всего передач,К2 Всего передач,К1 Вбрасывания,К2 Вбрасывания
02.04.2016 19:00,Борнмут,Манчестер Сити,0,4,46,54,11,15,2,7,5,8,4,0,12.0,11.0,4,4,2,4,3,2,9,8,0.0,1.0,,,,,,
02.04.2016 19:00,Вест Хэм,Кристал Пэлас,2,2,67,33,18,11,6,4,6,4,6,3,24.0,13.0,4,5,2,5,2,4,12,19,2.0,2.0,1.0,0.0,,,,
02.04.2016 19:00,Норвич,Ньюкасл Юнайтед,3,2,41,59,13,13,6,5,5,7,2,1,13.0,9.0,6,5,4,3,3,3,6,11,,,,,,,,
02.04.2016 19:00,Сандерленд,Вест Бромвич,0,0,56,44,22,3,7,0,8,2,7,1,13.0,16.0,9,3,5,0,0,7,11,13,1.0,2.0,,,,,,
02.04.2016 19:00,Сток Сити,Суонси,2,2,47,53,12,12,5,3,5,5,2,4,18.0,11.0,5,5,5,1,1,3,6,16,0.0,1.0,,,,,,
02.04.2016 16:45,Астон Вилла,Челси,0,4,42,58,15,11,4,8,6,3,5,0,11.0,11.0,7,2,0,3,4,4,12,8,6.0,1.0,1.0,0.0,,,,
20.03.2016 21:00,Манчестер Сити,Манчестер Юнайтед,0,1,54,46,26,5,3,4,16,0,7,1,13.0,11.0,11,5,2,1,3,3,9,12,1.0,1.0,,,,,,
20.03.2016 21:00,Тоттенхэм,Борнмут,3,0,63,37,16,2,7,0,8,2,1,0,11.0,14.0,4,5,3,5,0,4,11,6,0.0,1.0,,,,,,
20.03.2016 18:30,Ньюкасл Юнайтед,Сандерленд,1,1,60,40,16,14,7,4,7,7,2,3,8.0,15.0,2,5,1,1,3,6,14,7,4.0,1.0,,,,,,
20.03.2016 18:30,Саутгемптон,Ливерпуль,3,2,49,51,16,18,5,9,6,3,5,6,14.0,13.0,3,5,3,2,7,2,10,13,1.0,3.0,,,,,,
19.03.2016 22:30,Суонси,Астон Вилла,1,0,54,46,10,12,1,2,6,4,3,6,10.0,12.0,4,6,3,0,2,0,9,10,3.0,2.0,,,,,,
19.03.2016 20:00,Вест Бромвич,Норвич,0,1,50,50,10,7,0,1,6,4,4,2,15.0,12.0,4,3,4,2,0,0,8,13,1.0,2.0,,,,,,
19.03.2016 20:00,Кристал Пэлас,Лестер,0,1,56,44,12,8,4,3,6,3,2,2,13.0,9.0,10,7,0,0,2,4,9,13,1.0,1.0,,,,,,
